,Unnamed: 0,Unnamed: 0.1,id,homeTacklesTotalHT,homeShotsTotalHT,awayDispossessedFT,awayPassSuccessFT,awayRatingsFT,awayDribbleSuccessFT,awayDribblesAttemptedHT,awayTeamLineUp,awayShotsBlockedHT,awayShotsTotalHT,homeDribbleSuccessHT,homeFoulsCommitedFT,homeAerialsTotalFT,homeRatingsHT,awayShotsOnTargetFT,awayShotsBlockedFT,homeInterceptionsHT,awayPossessionHT,homePassesKeyFT,awayShotsOnTargetHT,awayDribblesWonFT,awayTackleSuccessHT,homeCornersTotalFT,homeAerialsTotalHT,homeShotsBlockedFT,awayCornersTotalHT,homeCornersTotalHT,homeDribbleSuccessFT,homeTeamLineUp,awayPassSuccessHT,awayDribblesWonHT,homeDispossessedHT,awayAerialsTotalFT,homeShotsBlockedHT,awayPassesKeyFT,homeTackleSuccessHT,awayPassesKeyHT,homeFormation,awayInterceptionsHT,awayDispossessedHT,refereeName,homeDribblesWonHT,homePossessionFT,awayAerialsTotalHT,awayGoalHT,awayManagerName,awayInterceptionsFT,homeDribbledPastFT,homeGoalHT,awayDribbleSuccessHT,homeGoalFT,awayTacklesTotalHT,homeDribblesWonFT,awayTackleSuccessFT,awayTeam,homeDispossessedFT,awayOffsidesCaughtFT,awayDribbledPastFT,homeShotsOnTargetHT,awayFormation,awayOffsidesCaughtHT,homeDribbledPastHT,awayFoulsCommitedHT,homeShotsTotalFT,homePassSuccessFT,homeFoulsCommitedHT,awayCornersTotalFT,homeTeam,homeManagerName,awayFoulsCommitedFT,homeShotsOnTargetFT,homeDribblesAttemptedHT,awayRatingsHT,homeOffsidesCaughtHT,homeTacklesTotalFT,awayDribbledPastHT,awayGoalFT,homePassesKeyHT,homeOffsidesCaughtFT,homePossessionHT,venueName,awayDribblesAttemptedFT,homeInterceptionsFT,homePassSuccessHT,date,awayTacklesTotalFT,homeRatingsFT,homeDribblesAttemptedFT,homeTackleSuccessFT,awayPossessionFT,awayShotsTotalFT
0,0,1,1,18,10,14.0,73.69,6.38,47.22,12,"Joel Robles,Paul Scharner,Antolin Alcaraz,Emmerson Boyce,James McArthur,James McCarthy,Jordi Gómez,Roger Espinoza,Callum McManaman,Arouna Koné,Shaun Maloney",3.0,5.0,25.0,12,22,6.39,2.0,4.0,12,51.26,14,1.0,10.0,87.5,7.0,16,4.0,0.0,4.0,38.89,"Wojciech Szczesny,Bacary Sagna,Laurent Koscielny,Per Mertesacker,Kieran Gibbs,Mikel Arteta,Aaron Ramsey,Theo Walcott,Tomas Rosicky,Santiago Cazorla,Lukas Podolski",72.18,7.0,5,22,4.0,9.0,60.71,3.0,4231,20,6.0,Mike Dean,1.0,47.65,16,1,Roberto Martinez,34,10.0,1,59.09,4,10,5.0,75.0,Wigan,6,5.0,5.0,1.0,343,1.0,7.0,7,21,66.73,5,4.0,Arsenal,Arsène Wenger,11,10.0,5.0,6.21,1.0,34,1.0,1,7,2.0,48.74,Emirates Stadium,20,21,69.45,2013-05-14,18,6.73,12.0,75.0,52.35,11.0
16,16,17,17,21,3,11.0,74.08,6.38,53.33,14,"Wojciech Szczesny,Carl Jenkinson,Thomas Vermaelen,Per Mertesacker,Nacho Monreal,Mikel Arteta,Aaron Ramsey,Theo Walcott,Jack Wilshere,Santiago Cazorla,Olivier Giroud",2.0,3.0,60.0,21,42,6.38,2.0,5.0,13,56.74,7,1.0,12.0,61.54,4.0,15,2.0,4.0,1.0,46.15,"Hugo Lloris,Kyle Walker,Jan Vertonghen,Michael Dawson,Benoit Assou-Ekotto,Aaron Lennon,Mousa Dembélé,Scott Parker,Gylfi Sigurdsson,Gareth Bale,Emmanuel Adebayor",76.16,6.0,5,42,1.0,8.0,76.67,3.0,4411,12,7.0,Mark Clattenburg,6.0,41.55,15,0,Arsène Wenger,19,12.0,2,40.0,2,15,6.0,70.59,Arsenal,7,2.0,6.0,2.0,4231,1.0,6.0,6,11,60.23,7,6.0,Tottenham,André Villas-Boas,13,4.0,10.0,6.23,3.0,33,6.0,1,2,5.0,43.26,White Hart Lane,22,17,67.53,2013-03-03,20,6.69,13.0,67.39,58.45,11.0
25,25,26,26,14,12,15.0,63.66,6.38,68.18,6,"Brad Guzan,Matthew Lowton,Ciaran Clark,Nathan Baker,Joe Bennett,Ashley Westwood,Fabian Delph,Andreas Weimann,Charles N'Zogbia,Gabriel Agbonlahor,Christian Benteke",1.0,3.0,50.0,7,27,6.49,3.0,2.0,11,37.37,23,2.0,9.0,62.5,12.0,10,8.0,0.0,1.0,64.29,"Wojciech Szczesny,Carl Jenkinson,Thomas Vermaelen,Per Mertesacker,Nacho Monreal,Abou Diaby,Mikel Arteta,Theo Walcott,Jack Wilshere,Santiago Cazorla,Olivier Giroud",72.12,4.0,3,27,4.0,8.0,69.7,3.0,4231,14,8.0,Martin Atkinson,5.0,64.33,10,0,Paul Lambert,25,9.0,1,66.67,2,13,14.0,53.7,Aston Villa,8,3.0,14.0,3.0,4231,2.0,4.0,5,26,83.17,6,3.0,Arsenal,Arsene Wenger,10,7.0,10.0,6.11,3.0,28,5.0,1,9,3.0,62.63,Emirates Stadium,13,21,83.15,2013-02-23,31,6.77,23.0,70.29,35.67,8.0
35,35,36,36,19,3,6.0,72.36,6.78,70.0,17,"Wojciech Szczesny,Carl Jenkinson,Bacary Sagna,Per Mertesacker,Nacho Monreal,Mikel Arteta,Aaron Ramsey,Theo Walcott,Jack Wilshere,Santiago Cazorla,Olivier Giroud",1.0,10.0,65.0,6,41,6.28,8.0,2.0,17,62.57,10,7.0,17.0,59.52,11.0,17,2.0,1.0,1.0,58.33,"Simon Mignolet,Craig Gardner,John O'Shea,Titus Bramble,Danny Rose,Lee Cattermole,Stéphane Sessegnon,Alfred N'Diaye,Jack Colback,Adam Johnson,Steven Fletcher",78.68,12.0,7,41,0.0,16.0,35.71,8.0,4141,9,2.0,Anthony Taylor,8.0,47.17,17,1,Arsène Wenger,14,17.0,0,75.0,0,19,12.0,63.89,Arsenal,11,1.0,12.0,1.0,4231,0.0,12.0,8,15,69.5,2,2.0,Sunderland,Martin O'Neill,13,6.0,12.0,6.42,3.0,31,8.0,1,3,5.0,37.43,Stadium of Light,25,21,70.7,2013-02-09,31,6.41,20.0,46.15,52.83,19.0
45,45,46,46,3,14,7.0,58.76,6.5,50.0,2,"Asmir Begovic,Ryan Shotton,Robert Huth,Ryan Shawcross,Andy Wilkinson,Steven N'Zonzi,Glenn Whelan,Geoff Cameron,Jonathan Walters,Peter Crouch,Matthew Etherington",1.0,5.0,77.27,3,62,6.3,1.0,2.0,7,38.97,15,1.0,3.0,43.33,11.0,34,10.0,1.0,8.0,75.0,"Wojciech Szczesny,Bacary Sagna,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Abou Diaby,Mikel Arteta,Theo Walcott,Jack Wilshere,Alex Oxlade-Chamberlain,Olivier Giroud",62.69,1.0,4,62,7.0,7.0,75.0,5.0,4231,11,1.0,Chris Foy,11.0,63.31,34,0,Tony Pulis,17,3.0,0,50.0,1,18,15.0,50.0,Stoke,8,2.0,15.0,3.0,433,0.0,1.0,4,23,82.09,1,1.0,Arsenal,Arsene Wenger,13,5.0,14.0,6.29,2.0,13,11.0,0,11,2.0,61.03,Emirates Stadium,6,16,83.03,2013-02-02,27,6.58,19.0,81.82,36.69,7.0
55,55,56,56,11,7,12.0,68.16,6.73,33.33,5,"José Reina,Andre Wisdom,Daniel Agger,Jamie Carragher,Glen Johnson,Lucas Leiva,Jordan Henderson,Steven Gerrard,Stewart Downing,Daniel Sturridge,Luis Suárez",0.0,6.0,39.39,9,31,6.05,5.0,3.0,8,43.66,15,3.0,7.0,71.11,8.0,17,5.0,2.0,6.0,27.08,"Wojciech Szczesny,Bacary Sagna,Thomas Vermaelen,Per Mertesacker,Kieran Gibbs,Jack Wilshere,Aaron Ramsey,Theo Walcott,Santiago Cazorla,Lukas Podolski,Olivier Giroud",67.93,0.0,4,31,3.0,10.0,100.0,5.0,4231,10,6.0,Kevin Friend,6.0,60.21,17,1,Brendan Rodgers,22,7.0,0,0.0,2,19,6.0,84.52,Liverpool,13,3.0,6.0,3.0,433,2.0,0.0,3,19,80.46,5,6.0,Arsenal,Arsene Wenger,11,6.0,15.0,6.49,1.0,30,6.0,2,4,1.0,56.34,Emirates Stadium,18,13,75.2,2013-01-30,34,6.34,21.0,81.33,39.79,13.0
61,61,62,62,9,6,11.0,63.02,6.22,58.33,3,"Jussi Jääskeläinen,Guy Demel,Winston Reid,James Tomkins,Joey O'Brien,Kevin Nolan,Mark Noble,Jack Collison,Matthew Taylor,Ricardo Vaz Te,Carlton Cole",2.0,7.0,55.56,9,24,6.25,4.0,3.0,6,36.09,18,2.0,8.0,54.55,13.0,14,10.0,5.0,2.0,53.57,"Wojciech Szczesny,Bacary Sagna,Thomas Vermaelen,Per Mertesacker,Kieran Gibbs,Jack Wilshere,Aaron Ramsey,Theo Walcott,Santiago Cazorla,Lukas Podolski,Olivier Giroud",57.59,1.0,3,24,2.0,6.0,88.89,4.0,4231,15,6.0,Andre Marriner,5.0,60.74,14,1,Sam Allardyce,22,8.0,1,33.33,5,12,8.0,62.5,West Ham,7,5.0,8.0,2.0,4231,2.0,1.0,5,24,76.77,5,5.0,Arsenal,Arsène Wenger,11,10.0,9.0,6.24,1.0,24,5.0,1,6,2.0,63.91,Emirates Stadium,13,17,72.58,2013-01-23,22,6.86,15.0,68.18,39.26,10.0
71,71,72,72,23,9,23.0,71.61,6.35,55.56,13,"Wojciech Szczesny,Bacary Sagna,Thomas Vermaelen,Per Mertesacker,Kieran Gibbs,Abou Diaby,Francis Coquelin,Theo Walcott,Jack Wilshere,Santiago Cazorla,Olivier Giroud",0.0,2.0,45.0,10,39,6.67,6.0,2.0,6,40.27,10,1.0,16.0,65.38,3.0,16,2.0,4.0,2.0,40.83,"Petr Cech,César Azpilicueta,Branislav Ivanovic,Gary Cahill,Ashley Cole,Ramires,Frank Lampard,Oscar,Juan Mata,Eden Hazard,Fernando Torres",67.42,5.0,4,39,0.0,8.0,76.67,2.0,4231,13,10.0,Martin Atkinson,6.0,50.16,16,0,Arsene Wenger,22,16.0,2,45.0,2,18,12.0,72.44,Arsenal,9,5.0,12.0,4.0,4231,3.0,5.0,6,14,67.67,2,9.0,Chelsea,Rafael Benitez,11,7.0,14.0,5.98,3.0,54,6.0,1,7,5.0,59.73,Stamford Bridge,31,15,83.24,2013-01-20,36,6.88,27.0,67.92,49.84,12.0
83,83,84,84,4,3,9.0,74.4,6.72,50.0,3,"Joe Hart,Pablo Zabaleta,Vincent Kompany,Matija Nastasic,Gaël Clichy,James Milner,Javi García,Gareth Barry,David Silva,Carlos Tévez,Edin Dzeko",3.0,14.0,35.71,12,45,6.04,6.0,5.0,14,58.54,7,6.0,6.0,72.22,2.0,17,2.0,5.0,1.0,37.5,"Wojciech Szczesny,Bacary Sagna,Thomas Vermaelen,Laurent Koscielny,Kieran Gibbs,Abou Diaby,Jack Wilshere,Alex Oxlade-Chamberlain,Santiago Cazorla,Lukas Podolski,Theo Walcott",73.88,1.0,2,45,0.0,13.0,83.33,10.0,4231,5,1.0,Mike Dean,4.0,45.72,17,2,Roberto Mancini,13,6.0,0,25.0,0,12,6.0,77.78,Man City,7,2.0,6.0,1.0,4411,1.0,1.0,5,9,62.54,4,7.0,Arsenal,Arsene Wenger,19,3.0,10.0,6.4,1.0,19,4.0,2,2,3.0,41.46,Emirates Stadium,11,32,60.14,2013-01-13,22,6.18,15.0,73.33,54.28,18.0
91,91,92,92,16,2,12.0,69.05,6.37,50.0,11,"Wojciech Szczesny,Bacary Sagna,Thomas Vermaelen,Laurent Koscielny,Kieran Gibbs,Mikel Arteta,Jack Wilshere,Alex Oxlade-Chamberlain,Santiago Cazorla,Lukas Podolski,Theo Walcott",2.0,2.0,40.0,9,30,6.23,1.0,3.0,8,60.7,7,0.0,13.0,78.12,3.0,10,2.0,3.0,1.0,52.38,"Artur Boruc,Jack Cork,Maya Yoshida,Jose Fonte,Luke Shaw,Morgan Schneiderlin,Steven Davis,Jason Puncheon,Gastón Ramírez,Guly do Prado,Rickie Lambert",73.81,6.0,9,30,1.0,4.0,64.29,1.0,4231,8,5.0,Lee Probert,5.0,44.81,10,1,Arsene Wenger,18,13.0,1,54.55,1,21,12.0,70.97,Arsenal,16,3.0,12.0,1.0,4231,3.0,6.0,3,9,64.24,3,3.0,Southampton,Nigel Adkins,7,5.0,12.0,6.18,2.0,37,5.0,1,1,4.0,39.3,The Friends Provident St Mary's Stadium,25,18,63.47,2013-01-01,39,6.36,23.0,67.74,55.19,6.0
