,Unnamed: 0,id,homeTacklesTotalHT,homeShotsTotalHT,awayDispossessedFT,awayPassSuccessFT,awayRatingsFT,awayDribbleSuccessFT,awayDribblesAttemptedHT,awayTeamLineUp,awayShotsBlockedHT,awayShotsTotalHT,homeDribbleSuccessHT,homeFoulsCommitedFT,homeAerialsTotalFT,homeRatingsHT,awayShotsOnTargetFT,awayShotsBlockedFT,homeInterceptionsHT,awayPossessionHT,homePassesKeyFT,awayShotsOnTargetHT,awayDribblesWonFT,awayTackleSuccessHT,homeCornersTotalFT,homeAerialsTotalHT,homeShotsBlockedFT,awayCornersTotalHT,homeCornersTotalHT,homeDribbleSuccessFT,homeTeamLineUp,awayPassSuccessHT,awayDribblesWonHT,homeDispossessedHT,awayAerialsTotalFT,homeShotsBlockedHT,awayPassesKeyFT,homeTackleSuccessHT,awayPassesKeyHT,homeFormation,awayInterceptionsHT,awayDispossessedHT,refereeName,homeDribblesWonHT,homePossessionFT,awayAerialsTotalHT,awayGoalHT,awayManagerName,awayInterceptionsFT,homeDribbledPastFT,homeGoalHT,awayDribbleSuccessHT,homeGoalFT,awayTacklesTotalHT,homeDribblesWonFT,awayTackleSuccessFT,awayTeam,homeDispossessedFT,awayOffsidesCaughtFT,awayDribbledPastFT,homeShotsOnTargetHT,awayFormation,awayOffsidesCaughtHT,homeDribbledPastHT,awayFoulsCommitedHT,homeShotsTotalFT,homePassSuccessFT,homeFoulsCommitedHT,awayCornersTotalFT,homeTeam,homeManagerName,awayFoulsCommitedFT,homeShotsOnTargetFT,homeDribblesAttemptedHT,awayRatingsHT,homeOffsidesCaughtHT,homeTacklesTotalFT,awayDribbledPastHT,awayGoalFT,homePassesKeyHT,homeOffsidesCaughtFT,homePossessionHT,venueName,awayDribblesAttemptedFT,homeInterceptionsFT,homePassSuccessHT,date,awayTacklesTotalFT,homeRatingsFT,homeDribblesAttemptedFT,homeTackleSuccessFT,awayPossessionFT,awayShotsTotalFT,division
0,1,1,18,10,14.0,73.69,6.38,47.22,12,"Joel Robles,Paul Scharner,Antolin Alcaraz,Emmerson Boyce,James McArthur,James McCarthy,Jordi Gómez,Roger Espinoza,Callum McManaman,Arouna Koné,Shaun Maloney",3.0,5.0,25.0,12,22,6.39,2.0,4.0,12,51.26,14,1.0,10.0,87.5,7.0,16,4.0,0.0,4.0,38.89,"Wojciech Szczesny,Bacary Sagna,Laurent Koscielny,Per Mertesacker,Kieran Gibbs,Mikel Arteta,Aaron Ramsey,Theo Walcott,Tomas Rosicky,Santiago Cazorla,Lukas Podolski",72.18,7.0,5,22,4.0,9.0,60.71,3.0,4231,20,6.0,Mike Dean,1.0,47.65,16,1,Roberto Martinez,34,10.0,1,59.09,4,10,5.0,75.0,Wigan,6,5.0,5.0,1.0,343,1.0,7.0,7,21,66.73,5,4.0,Arsenal,Arsène Wenger,11,10.0,5.0,6.21,1.0,34,1.0,1,7,2.0,48.74,Emirates Stadium,20,21,69.45,2013-05-14,18,6.73,12.0,75.0,52.35,11.0,EPL
1,2,2,13,3,11.0,75.78,6.39,27.27,5,"Petr Cech,César Azpilicueta,Branislav Ivanovic,Gary Cahill,Ashley Cole,John Obi Mikel,Oriol Romeu,Victor Moses,Oscar,Eden Hazard,Fernando Torres",1.0,4.0,50.0,12,15,6.24,5.0,4.0,9,51.19,7,2.0,3.0,75.0,8.0,9,4.0,3.0,4.0,31.82,"Gerhard Tremmel,Angel Rangel,Garry Monk,Ashley Williams,Ben Davies,Leon Britton,Ki Sung-yueng,Pablo Hernández,Jonathan de Guzmán,Wayne Routledge,Michu",83.18,2.0,4,15,1.0,6.0,86.36,1.0,4231,5,8.0,Kevin Friend,2.0,53.71,9,0,Roberto Di Matteo,11,3.0,0,40.0,1,9,4.0,86.96,Chelsea,13,2.0,4.0,0.0,4231,0.0,2.0,4,10,80.95,7,6.0,Swansea,Michael Laudrup,10,2.0,5.0,6.18,1.0,22,2.0,1,3,3.0,48.81,Liberty Stadium,11,14,78.64,2012-11-03,26,6.37,13.0,88.89,46.29,11.0,EPL
2,3,3,10,5,16.0,74.86,6.73,66.67,4,"Anders Lindegaard,Antonio Valencia,Phil Jones,Jonny Evans,Alexander Buttner,Anderson,Michael Carrick,Tom Cleverley,Chicharito,Shinji Kagawa,Robin van Persie",3.0,8.0,50.0,12,19,5.8,6.0,5.0,3,65.24,16,3.0,6.0,77.78,3.0,9,6.0,2.0,0.0,45.0,"Ben Foster,Billy Jones,Jonas Olsson,Gareth McAuley,Liam Ridgewell,Claudio Yacob,Youssouf Mulumbu,Graham Dorrans,James Morrison,Chris Brunt,Shane Long",84.24,3.0,5,19,2.0,11.0,68.75,6.0,4231,5,6.0,Michael Oliver,2.0,39.82,9,3,Alex Ferguson,15,6.0,1,75.0,5,9,5.0,73.53,Man Utd,9,2.0,5.0,1.0,4231,2.0,3.0,3,19,69.7,5,5.0,West Brom,Steve Clarke,8,6.0,4.0,6.53,2.0,25,2.0,5,5,4.0,34.76,The Hawthorns,9,5,75.31,2013-05-19,20,6.04,11.0,75.0,60.18,15.0,EPL
3,4,4,8,5,6.0,78.43,6.41,27.78,4,"Michel Vorm,Angel Rangel,Garry Monk,Ashley Williams,Ben Davies,Jonathan de Guzmán,Ki Sung-yueng,Pablo Hernández,Michu,Wayne Routledge,Luke Moore",2.0,7.0,58.33,11,36,6.15,2.0,3.0,10,52.49,10,1.0,5.0,61.11,3.0,17,3.0,1.0,1.0,63.33,"Ben Foster,Billy Jones,Jonas Olsson,Gareth McAuley,Liam Ridgewell,Claudio Yacob,Youssouf Mulumbu,Graham Dorrans,James Morrison,Chris Brunt,Romelu Lukaku",79.78,0.0,3,36,1.0,8.0,100.0,4.0,4231,12,4.0,Lee Mason,3.0,45.98,17,1,Michael Laudrup,24,5.0,1,0.0,2,9,8.0,63.54,Swansea,9,4.0,8.0,2.0,4231,1.0,0.0,4,14,64.96,5,3.0,West Brom,Steve Clarke,10,5.0,6.0,6.26,1.0,24,3.0,1,5,1.0,47.51,The Hawthorns,18,23,67.21,2013-03-09,23,6.43,14.0,79.55,54.02,11.0,EPL
4,5,5,13,6,9.0,61.07,6.51,40.0,9,"Asmir Begovic,Geoff Cameron,Marc Wilson,Ryan Shawcross,Andy Wilkinson,Ryan Shotton,Steven N'Zonzi,Jonathan Walters,Glenn Whelan,Cameron Jerome,Peter Crouch",1.0,4.0,81.25,10,48,6.21,4.0,2.0,2,43.07,13,2.0,6.0,60.0,14.0,24,4.0,2.0,7.0,66.18,"Robert Elliot,Mathieu Debuchy,Mapou Yanga-Mbiwa,Steven Taylor,Davide Santon,Yohan Cabaye,Cheick Tioté,Yoan Gouffran,Moussa Sissoko,Jonás Gutiérrez,Papiss Demba Cissé",61.31,4.0,8,48,0.0,5.0,66.67,3.0,4231,11,4.0,Andre Marriner,8.0,53.2,24,0,Tony Pulis,19,6.0,0,44.44,2,18,16.0,61.61,Stoke,13,3.0,16.0,1.0,451,3.0,4.0,8,16,77.44,5,4.0,Newcastle,Alan Pardew,14,4.0,10.0,6.28,1.0,25,8.0,1,5,1.0,56.93,St James' Park,16,7,78.95,2013-03-10,37,6.45,24.0,71.93,46.8,8.0,EPL
5,6,6,19,7,18.0,67.97,6.49,65.79,11,"Hugo Lloris,Kyle Walker,Jan Vertonghen,Michael Dawson,Benoit Assou-Ekotto,Mousa Dembélé,Scott Parker,Jake Livermore,Gylfi Sigurdsson,Gareth Bale,Jermain Defoe",2.0,8.0,37.5,9,27,6.34,7.0,3.0,9,54.89,9,3.0,15.0,87.5,1.0,8,2.0,2.0,0.0,26.92,"Brad Jones,Glen Johnson,Daniel Agger,Jamie Carragher,José Enrique,Stewart Downing,Lucas Leiva,Steven Gerrard,Philippe Coutinho,Luis Suárez,Daniel Sturridge",73.55,8.0,6,27,1.0,12.0,55.95,6.0,4411,10,8.0,Michael Oliver,2.0,46.4,8,1,Andre Villas-Boas,21,15.0,1,77.78,3,11,4.0,90.0,Tottenham,23,0.0,4.0,2.0,4411,0.0,8.0,3,12,65.53,4,4.0,Liverpool,Brendan Rodgers,9,4.0,5.0,6.15,4.0,42,2.0,2,7,6.0,45.11,Anfield,24,18,68.15,2013-03-10,37,6.52,14.0,64.44,53.6,16.0,EPL
6,7,7,7,8,14.0,76.71,6.49,43.33,2,"Hugo Lloris,Kyle Walker,Michael Dawson,Steven Caulker,Jan Vertonghen,Mousa Dembélé,Scott Parker,Aaron Lennon,Gareth Bale,Lewis Holtby,Emmanuel Adebayor",3.0,11.0,43.75,12,34,6.26,13.0,5.0,7,58.62,12,4.0,9.0,68.18,6.0,19,5.0,6.0,4.0,39.29,"Jussi Jääskeläinen,Guy Demel,Winston Reid,James Collins,Joey O'Brien,Mohamed Diamé,Kevin Nolan,Gary O'Neil,Joe Cole,Andy Carroll,Matthew Jarvis",76.08,0.0,4,34,3.0,19.0,100.0,9.0,433,4,5.0,Howard Webb,4.0,43.19,19,1,Andre Villas-Boas,11,9.0,1,0.0,2,13,6.0,72.5,Tottenham,8,2.0,6.0,3.0,4231,2.0,0.0,4,14,58.58,5,12.0,West Ham,Sam Allardyce,8,6.0,9.0,6.24,2.0,34,4.0,3,7,2.0,41.38,Upton Park,20,13,62.89,2013-02-25,23,6.59,15.0,77.59,56.81,27.0,EPL
7,8,8,13,13,11.0,68.19,6.29,46.15,6,"Ben Foster,Steven Reid,Jonas Olsson,Gareth McAuley,Liam Ridgewell,Claudio Yacob,Youssouf Mulumbu,Marc-Antoine Fortuné,James Morrison,Graham Dorrans,Shane Long",0.0,2.0,62.5,12,19,6.35,3.0,0.0,10,42.71,18,1.0,6.0,72.22,9.0,8,9.0,1.0,6.0,50.0,"Petr Cech,César Azpilicueta,David Luiz,Branislav Ivanovic,Ashley Cole,Ramires,Frank Lampard,Oscar,Juan Mata,Eden Hazard,Demba Ba",62.63,2.0,5,19,4.0,3.0,81.82,1.0,4231,8,7.0,Kevin Friend,3.0,48.02,8,0,Steve Clarke,11,6.0,1,33.33,1,10,7.0,72.5,West Brom,11,1.0,7.0,6.0,4231,1.0,2.0,7,24,73.49,8,7.0,Chelsea,Rafael Benitez,17,9.0,5.0,6.14,1.0,24,3.0,0,9,2.0,57.29,Stamford Bridge,13,19,78.72,2013-03-02,25,6.66,14.0,73.81,51.98,7.0,EPL
8,9,9,8,7,14.0,55.9,6.36,60.0,2,"Stuart Taylor,Stephen Kelly,Alex Pearce,Adrian Mariappa,Ian Harte,Jimmy Kébé,Hope Akpan,Mikele Leigertwood,Jobi McAnuff,Noel Hunt,Adam Le Fondre",2.0,7.0,66.67,8,51,6.28,5.0,2.0,7,41.34,19,1.0,4.0,80.0,9.0,24,2.0,3.0,5.0,38.89,"Ján Mucha,Seamus Coleman,Sylvain Distin,Phil Jagielka,Leighton Baines,Kevin Mirallas,Darron Gibson,Leon Osman,Steven Pienaar,Marouane Fellaini,Nikica Jelavic",46.98,1.0,7,51,0.0,6.0,87.5,1.0,4411,9,6.0,Anthony Taylor,2.0,55.47,24,0,Brian McDermott,20,4.0,1,50.0,3,10,4.0,83.33,Reading,14,4.0,4.0,5.0,442,2.0,1.0,5,21,66.89,7,10.0,Everton,David Moyes,8,12.0,3.0,6.22,1.0,20,2.0,1,7,1.0,58.66,Goodison Park,6,18,70.16,2013-03-02,23,6.79,10.0,81.25,44.53,14.0,EPL
9,10,10,6,10,8.0,57.1,6.28,50.0,2,"Mark Bunn,Russell Martin,Sebastien Bassong,Michael Turner,Javier Garrido,Robert Snodgrass,Wes Hoolahan,Jonny Howson,Bradley Johnson,Anthony Pilkington,Grant Holt",0.0,0.0,31.82,5,21,6.16,0.0,1.0,4,33.72,17,0.0,3.0,78.85,7.0,8,8.0,0.0,6.0,44.74,"David de Gea,Chris Smalling,Nemanja Vidic,Jonny Evans,Patrice Evra,Anderson,Michael Carrick,Antonio Valencia,Wayne Rooney,Shinji Kagawa,Robin van Persie",56.81,1.0,6,21,5.0,1.0,90.0,0.0,4231,11,4.0,Neil Swarbrick,4.0,62.17,8,0,Chris Hughton,19,3.0,1,50.0,4,18,10.0,69.0,Norwich,10,2.0,10.0,3.0,451,2.0,1.0,8,19,83.5,1,3.0,Man Utd,Alex Ferguson,14,7.0,12.0,6.22,1.0,14,4.0,0,8,3.0,66.28,Old Trafford,6,14,84.74,2013-03-02,31,6.52,21.0,80.77,37.83,1.0,EPL
